Date,ETH.STORE,ETH staking % per day,ETH compound
01.12.2020,17.403,0.000439665,1.000439665
02.12.2020,17.909,0.000451452,1.000891315
03.12.2020,18.098,0.000455843,1.001347564
04.12.2020,18.031,0.000454287,1.001802463
05.12.2020,17.768,0.000448173,1.002251444
06.12.2020,17.572,0.000443607,1.00269605
07.12.2020,16.984,0.000429865,1.003127074
08.12.2020,16.785,0.000425199,1.003553602
09.12.2020,16.691,0.000422991,1.003978096
10.12.2020,16.564,0.000420007,1.004399774
11.12.2020,16.228,0.000412095,1.004813682
12.12.2020,15.977,0.000406169,1.005221806
13.12.2020,15.681,0.000399165,1.005623056
14.12.2020,15.493,0.000394707,1.006019983
15.12.2020,15.335,0.000390955,1.006413291
16.12.2020,15.172,0.000387079,1.006802853
17.12.2020,14.962,0.000382077,1.007187529
18.12.2020,14.835,0.000379048,1.007569301
19.12.2020,14.592,0.000373242,1.007945368
20.12.2020,14.21,0.00036409,1.008312351
21.12.2020,14.169,0.000363106,1.008678475
22.12.2020,14.02,0.000359527,1.009041122
23.12.2020,13.839,0.000355173,1.009399506
24.12.2020,13.745,0.000352909,1.009755731
25.12.2020,13.585,0.000349051,1.010108187
26.12.2020,13.45,0.000345791,1.010457474
27.12.2020,13.196,0.000339649,1.010800674
28.12.2020,13.174,0.000339116,1.011143453
29.12.2020,13.082,0.000336887,1.011484094
30.12.2020,12.987,0.000334584,1.01182252
31.12.2020,12.834,0.00033087,1.012157301
01.01.2021,12.776,0.000329461,1.012490767
02.01.2021,12.661,0.000326665,1.012821512
03.01.2021,12.464,0.000321868,1.013147507
04.01.2021,12.47,0.000322014,1.013473755
05.01.2021,12.172,0.000314743,1.01379274
06.01.2021,12.199,0.000315403,1.014112493
07.01.2021,12.127,0.000313644,1.014430563
08.01.2021,12.002,0.000310587,1.014745631
09.01.2021,11.925,0.000308702,1.015058885
10.01.2021,11.834,0.000306473,1.015369973
11.01.2021,11.697,0.000303114,1.015677745
12.01.2021,11.55,0.000299504,1.015981945
13.01.2021,11.335,0.000294217,1.016280865
14.01.2021,11.392,0.00029562,1.016581298
15.01.2021,11.291,0.000293134,1.016879292
16.01.2021,11.198,0.000290843,1.017175044
17.01.2021,11.14,0.000289413,1.017469428
18.01.2021,11.04,0.000286946,1.017761387
19.01.2021,10.942,0.000284526,1.018050967
20.01.2021,10.746,0.000279681,1.018335696
21.01.2021,10.747,0.000279705,1.01862053
22.01.2021,10.807,0.00028119,1.018906955
23.01.2021,10.801,0.000281041,1.01919331
24.01.2021,10.682,0.000278096,1.019476744
25.01.2021,10.658,0.000277502,1.019759651
26.01.2021,10.55,0.000274826,1.020039907
27.01.2021,10.349,0.000269839,1.020315153
28.01.2021,10.287,0.000268299,1.020588903
29.01.2021,10.227,0.000266807,1.020861203
30.01.2021,10.091,0.000263424,1.021130123
31.01.2021,10.091,0.000263424,1.021399113
01.02.2021,10.043,0.000262229,1.021666953
02.02.2021,9.715,0.000254049,1.021926506
03.02.2021,9.76,0.000255172,1.022187273
04.02.2021,9.763,0.000255247,1.022448184
05.02.2021,9.62,0.000251675,1.022705508
06.02.2021,9.74,0.000254673,1.022965963
07.02.2021,9.671,0.000252949,1.023224722
08.02.2021,9.53,0.000249424,1.023479938
09.02.2021,9.573,0.000250499,1.023736319
10.02.2021,9.658,0.000252624,1.02399494
11.02.2021,9.629,0.0002519,1.024252884
12.02.2021,9.59,0.000250925,1.024509894
13.02.2021,9.437,0.000247096,1.024763046
14.02.2021,9.425,0.000246795,1.025015953
15.02.2021,9.251,0.000242434,1.025264452
16.02.2021,9.227,0.000241832,1.025512394
17.02.2021,9.18,0.000240653,1.025759186
18.02.2021,9.206,0.000241305,1.026006708
19.02.2021,9.168,0.000240352,1.02625331
20.02.2021,9.264,0.00024276,1.026502444
21.02.2021,9.164,0.000240251,1.026749062
22.02.2021,9.17,0.000240402,1.026995894
23.02.2021,9.114,0.000238996,1.027241342
24.02.2021,8.997,0.000236056,1.027483828
25.02.2021,8.938,0.000234572,1.027724847
26.02.2021,8.982,0.000235679,1.02796706
27.02.2021,8.901,0.000233641,1.028207235
28.02.2021,8.95,0.000234874,1.028448734
01.03.2021,8.78,0.000230595,1.028685889
02.03.2021,8.783,0.00023067,1.028923176
