block_number,timestamp,tick,price
15172490,2022-07-19T10:18:53,-98003,5.5462135257343064e-05
15172491,2022-07-19T10:19:13,-98192,5.442379602980936e-05
15172676,2022-07-19T10:59:51,-97859,5.626652751117877e-05
15172677,2022-07-19T11:00:07,-98200,5.438027657902303e-05
15172961,2022-07-19T12:04:06,-97698,5.7179704294830703e-05
15172961,2022-07-19T12:04:06,-98185,5.446190411793241e-05
15173004,2022-07-19T12:15:27,-97822,5.6475088835606105e-05
15173005,2022-07-19T12:15:30,-98200,5.438027657902303e-05
15173244,2022-07-19T13:08:13,-97533,5.813094803499184e-05
15173245,2022-07-19T13:08:14,-98200,5.438027657902303e-05
15173280,2022-07-19T13:14:58,-97500,5.832308741231338e-05
15173281,2022-07-19T13:15:03,-98180,5.4489140516726435e-05
15174331,2022-07-19T17:12:18,-98011,5.541778550885226e-05
15175090,2022-07-19T19:53:51,-97065,6.0915999063314474e-05
15175090,2022-07-19T19:53:51,-98084,5.501472877403734e-05
15175098,2022-07-19T19:56:05,-97188,6.01713584336827e-05
15175098,2022-07-19T19:56:05,-98043,5.524074086980137e-05
15175150,2022-07-19T20:06:05,-96994,6.135001990682136e-05
15175150,2022-07-19T20:06:05,-97996,5.550097040101297e-05
15175170,2022-07-19T20:10:11,-97107,6.066070113285541e-05
15175171,2022-07-19T20:10:32,-97957,5.571783595544776e-05
15175540,2022-07-19T21:34:21,-97515,5.8235672729257955e-05
15175541,2022-07-19T21:34:41,-97932,5.585729782706577e-05
15175767,2022-07-19T22:22:42,-97755,5.685472330479207e-05
15175950,2022-07-19T23:06:35,-98169,5.454910854931461e-05
15176009,2022-07-19T23:20:49,-97810,5.6542896228194775e-05
15177353,2022-07-20T04:20:20,-97111,6.063644291725939e-05
15177353,2022-07-20T04:20:20,-97821,5.648073634448967e-05
15178935,2022-07-20T10:26:16,-96721,6.30478606436512e-05
15178935,2022-07-20T10:26:16,-97593,5.778322394807674e-05
15179201,2022-07-20T11:27:24,-97725,5.702553502373888e-05
15179381,2022-07-20T12:04:53,-97974,5.5623200828648923e-05
15180245,2022-07-20T15:16:34,-97260,5.9739702063014154e-05
15180336,2022-07-20T15:36:26,-97542,5.8078656331098237e-05
15182155,2022-07-20T22:22:02,-97690,5.722546407178623e-05
15183213,2022-07-21T02:18:01,-98140,5.470752263294039e-05
15183844,2022-07-21T04:37:17,-97978,5.560095710952528e-05
15185762,2022-07-21T11:59:45,-97934,5.584612804299589e-05
15185814,2022-07-21T12:11:44,-98098,5.4937765888423746e-05
15186883,2022-07-21T16:06:36,-98048,5.521312878354457e-05
15187728,2022-07-21T19:05:50,-97992,5.552317411945361e-05
15187780,2022-07-21T19:15:09,-97749,5.688884466812062e-05
15187781,2022-07-21T19:15:14,-98031,5.5307066229889795e-05
15187874,2022-07-21T19:35:24,-98054,5.518001249794025e-05
15187993,2022-07-21T20:02:05,-97900,5.603631850956275e-05
15188134,2022-07-21T20:31:56,-98090,5.498173148678583e-05
15188155,2022-07-21T20:35:41,-97916,5.594673656363671e-05
15188495,2022-07-21T21:48:26,-97566,5.793944164096998e-05
15188742,2022-07-21T22:43:22,-97632,5.7558319468503104e-05
15189254,2022-07-22T00:37:38,-97636,5.753530189539669e-05
15189439,2022-07-22T01:21:00,-97594,5.77774462034564e-05
15189615,2022-07-22T02:05:40,-97579,5.7864173065376714e-05
15190053,2022-07-22T03:39:30,-96977,6.145439841842264e-05
15190053,2022-07-22T03:39:30,-97309,5.944770809179198e-05
15190057,2022-07-22T03:41:16,-97374,5.906257029952615e-05
15190225,2022-07-22T04:17:25,-96905,6.18984445329301e-05
15190225,2022-07-22T04:17:25,-97148,6.041251379905651e-05
15190263,2022-07-22T04:26:12,-97149,6.0406473151741336e-05
15190347,2022-07-22T04:47:52,-96665,6.340190135031432e-05
15190349,2022-07-22T04:48:34,-96749,6.287158235238715e-05
15190838,2022-07-22T06:43:04,-96718,6.306677689334316e-05
15190843,2022-07-22T06:43:59,-96696,6.320566958393211e-05
15190870,2022-07-22T06:50:33,-96386,6.519563089269724e-05
15190870,2022-07-22T06:50:33,-96732,6.297854959050584e-05
15191020,2022-07-22T07:29:07,-96036,6.751776213179196e-05
15191020,2022-07-22T07:29:07,-96676,6.333220108595728e-05
15191078,2022-07-22T07:43:21,-96511,6.438579799724962e-05
15191197,2022-07-22T08:14:11,-95861,6.87096620830635e-05
15191197,2022-07-22T08:14:11,-96460,6.471498782840477e-05
15191219,2022-07-22T08:18:50,-96951,6.161437974097873e-05
15191219,2022-07-22T08:18:50,-96790,6.261434941402097e-05
15191340,2022-07-22T08:41:44,-96743,6.290931473379346e-05
15191465,2022-07-22T09:11:31,-96727,6.301004516378587e-05
15191483,2022-07-22T09:15:55,-97041,6.106236571258256e-05
15191484,2022-07-22T09:16:04,-96812,6.247675613296188e-05
15191829,2022-07-22T10:29:14,-96703,6.31614433075029e-05
15192035,2022-07-22T11:15:53,-96699,6.318671167476515e-05
15192145,2022-07-22T11:40:38,-96709,6.312355970188526e-05
15192345,2022-07-22T12:23:38,-96023,6.760558790573266e-05
15192345,2022-07-22T12:23:38,-96314,6.566670973043405e-05
15192346,2022-07-22T12:23:56,-96399,6.511093587090871e-05
15192411,2022-07-22T12:38:20,-96368,6.531308283083894e-05
15192554,2022-07-22T13:12:28,-96484,6.455986583443466e-05
15192582,2022-07-22T13:18:48,-96342,6.548310928363001e-05
15192785,2022-07-22T14:01:52,-96577,6.396227207926126e-05
15192818,2022-07-22T14:10:58,-96340,6.549620656031783e-05
15193820,2022-07-22T17:37:21,-96448,6.479268853993133e-05
15193868,2022-07-22T17:51:14,-96765,6.277107327469649e-05
15194146,2022-07-22T18:52:47,-97297,5.951908459007091e-05
15194146,2022-07-22T18:52:47,-97011,6.124581867909178e-05
15194202,2022-07-22T19:04:17,-96944,6.165752274797388e-05
15194615,2022-07-22T20:34:23,-96953,6.16020587132155e-05
15194684,2022-07-22T20:46:47,-97079,6.083078059232639e-05
15194774,2022-07-22T21:04:20,-97190,6.0159325966896065e-05
15195495,2022-07-22T23:46:39,-97220,5.997912743171689e-05
15196360,2022-07-23T02:54:12,-97100,6.070317636451898e-05
15197232,2022-07-23T06:07:36,-97108,6.065463566928849e-05
15197486,2022-07-23T07:02:11,-96849,6.2246030776461e-05
15197491,2022-07-23T07:03:18,-96999,6.131935409722412e-05
15197627,2022-07-23T07:34:36,-97136,6.048504870116822e-05
15197801,2022-07-23T08:15:27,-97159,6.034609988886473e-05
15198098,2022-07-23T09:24:42,-97181,6.021349102267775e-05
15199379,2022-07-23T14:08:15,-97021,6.118460653214327e-05
15200873,2022-07-23T19:47:29,-97090,6.076390686459851e-05
15200908,2022-07-23T19:54:59,-97372,5.907438340421176e-05
15201473,2022-07-23T21:49:20,-97389,5.897404727901675e-05
15201774,2022-07-23T23:05:01,-97397,5.892688926477562e-05
15201813,2022-07-23T23:13:50,-97495,5.835225478891153e-05
15202075,2022-07-24T00:12:14,-97382,5.901534149872628e-05
15203920,2022-07-24T07:15:24,-96963,6.154049052208653e-05
15204830,2022-07-24T10:40:55,-97170,6.0279758990159964e-05
15204874,2022-07-24T10:49:11,-96313,6.56732764014071e-05
15204874,2022-07-24T10:49:11,-97096,6.072746127749819e-05
15205004,2022-07-24T11:18:22,-97060,6.0946463155055224e-05
15205537,2022-07-24T13:21:18,-97200,6.0099199715327706e-05
15206085,2022-07-24T15:23:14,-97212,6.002712753117719e-05
15206788,2022-07-24T18:01:38,-98027,5.532919237502696e-05
15206788,2022-07-24T18:01:38,-97430,5.873276072472102e-05
15207235,2022-07-24T19:39:27,-97488,5.8393113623279806e-05
15207241,2022-07-24T19:40:34,-97403,5.889154550256434e-05
15207299,2022-07-24T19:52:39,-97405,5.887976895997466e-05
15208670,2022-07-25T01:01:24,-97309,5.944770809179198e-05
15208933,2022-07-25T02:03:54,-97290,5.9560760450375093e-05
15209653,2022-07-25T04:59:29,-97932,5.585729782706577e-05
15209653,2022-07-25T04:59:29,-97565,5.794523558513407e-05
15209947,2022-07-25T06:01:07,-97020,6.119072499279647e-05
15209947,2022-07-25T06:01:07,-97574,5.789311093890538e-05
15210617,2022-07-25T08:33:30,-97575,5.78873222066847e-05
15210622,2022-07-25T08:34:40,-97773,5.675248195963994e-05
15210626,2022-07-25T08:35:47,-97849,5.632281936538048e-05
15211594,2022-07-25T12:15:32,-97775,5.674113316559549e-05
15213037,2022-07-25T17:29:59,-97711,5.710542268677197e-05
15215138,2022-07-26T01:14:34,-98035,5.528494893299852e-05
15215148,2022-07-26T01:16:24,-97787,5.667308804323462e-05
15215391,2022-07-26T02:13:57,-97517,5.822402734154937e-05
15216077,2022-07-26T04:53:08,-97677,5.7299901827312095e-05
15217184,2022-07-26T08:55:39,-97768,5.67808638764355e-05
15217360,2022-07-26T09:33:15,-97953,5.574012643312297e-05
15217513,2022-07-26T10:10:39,-99501,4.774660809771605e-05
15217513,2022-07-26T10:10:39,-98158,5.460914257973096e-05
15217517,2022-07-26T10:11:56,-98094,5.4959744291264824e-05
15217701,2022-07-26T10:57:52,-97991,5.552872643686555e-05
15217917,2022-07-26T11:49:08,-97971,5.563988945764916e-05
15218003,2022-07-26T12:09:19,-97895,5.606434227300977e-05
15218048,2022-07-26T12:17:39,-98199,5.4385714606680926e-05
15218220,2022-07-26T12:54:04,-98370,5.3463670928437874e-05
15218459,2022-07-26T13:49:03,-98191,5.442923840941234e-05
15218524,2022-07-26T14:05:17,-98060,5.514691607515472e-05
15219460,2022-07-26T17:31:49,-98003,5.5462135257343064e-05
15219536,2022-07-26T17:50:42,-97999,5.5484323439395966e-05
15220419,2022-07-26T21:07:46,-97818,5.649768225987158e-05
15220513,2022-07-26T21:27:38,-97228,5.993116571506188e-05
15220514,2022-07-26T21:28:14,-97663,5.7380173853643886e-05
15220941,2022-07-26T23:00:17,-97556,5.7997407162313624e-05
15220955,2022-07-26T23:03:15,-97645,5.7483546005086215e-05
15221343,2022-07-27T00:31:40,-97650,5.7454812852604056e-05
15221603,2022-07-27T01:29:29,-98249,5.4114478251175327e-05
15221603,2022-07-27T01:29:29,-97994,5.551207115010288e-05
15221836,2022-07-27T02:23:15,-97868,5.62159129470749e-05
15222709,2022-07-27T05:54:59,-97515,5.8235672729257955e-05
15222709,2022-07-27T05:54:59,-97657,5.741461056612984e-05
15222783,2022-07-27T06:13:13,-97452,5.860369712621043e-05
15222783,2022-07-27T06:13:13,-97634,5.7546809531128785e-05
15222836,2022-07-27T06:23:02,-97580,5.785838722665405e-05
15222909,2022-07-27T06:41:55,-97596,5.776589244730801e-05
15222918,2022-07-27T06:43:49,-97701,5.7162553813752805e-05
15222932,2022-07-27T06:47:57,-97717,5.70711714221015e-05
15223959,2022-07-27T10:21:30,-97770,5.676950940685904e-05
15223971,2022-07-27T10:24:04,-97790,5.665608951664029e-05
15225226,2022-07-27T15:04:42,-98196,5.440203195268876e-05
15225228,2022-07-27T15:04:44,-97911,5.597471552715168e-05
15226692,2022-07-27T20:28:57,-97894,5.606994870723707e-05
15226946,2022-07-27T21:23:46,-97709,5.711684434236356e-05
15227020,2022-07-27T21:39:57,-98010,5.542332728740315e-05
15227022,2022-07-27T21:40:12,-97654,5.74318366717954e-05
15227083,2022-07-27T21:53:22,-97520,5.8206563626206394e-05
15227143,2022-07-27T22:10:44,-97465,5.8527565622656734e-05
15227256,2022-07-27T22:33:15,-97334,5.929928185285092e-05
15227859,2022-07-28T00:55:55,-97512,5.8253145178205144e-05
15227859,2022-07-28T00:55:55,-97354,5.918080772636871e-05
15228314,2022-07-28T02:31:45,-97247,5.98174102897535e-05
15228552,2022-07-28T03:27:19,-97108,6.065463566928849e-05
15228678,2022-07-28T03:52:54,-97109,6.064857081220727e-05
15228701,2022-07-28T03:58:01,-97161,6.03340324790286e-05
15229360,2022-07-28T06:24:26,-97047,6.1025741112833096e-05
15229907,2022-07-28T08:20:24,-97124,6.055767069305146e-05
15229998,2022-07-28T08:38:58,-97127,6.0539507024698306e-05
15230129,2022-07-28T09:12:51,-97040,6.106847194915382e-05
15230391,2022-07-28T10:10:03,-97251,5.9793489306182494e-05
15230421,2022-07-28T10:16:08,-97180,6.021951237178002e-05
15230421,2022-07-28T10:16:08,-97180,6.021951237178002e-05
15230659,2022-07-28T11:07:40,-96987,6.139297780640778e-05
15230706,2022-07-28T11:18:15,-96564,6.40454729418343e-05
15230706,2022-07-28T11:18:15,-96828,6.237687824058067e-05
15230820,2022-07-28T11:44:56,-96520,6.432787974204073e-05
15230820,2022-07-28T11:44:56,-96793,6.259556886543168e-05
15230851,2022-07-28T11:53:24,-96532,6.425073643868991e-05
15230851,2022-07-28T11:53:24,-96762,6.278990647987387e-05
15231256,2022-07-28T13:25:33,-96279,6.58969343615461e-05
15231257,2022-07-28T13:25:52,-96709,6.312355970188526e-05
15231481,2022-07-28T14:18:03,-95685,6.992959506150355e-05
15231481,2022-07-28T14:18:03,-96593,6.386001938045605e-05
15231510,2022-07-28T14:25:40,-95572,7.072424104863378e-05
15231510,2022-07-28T14:25:40,-96485,6.455341049338531e-05
15231549,2022-07-28T14:33:42,-96380,6.52347580518815e-05
15231554,2022-07-28T14:34:41,-95870,6.864785429520299e-05
15231554,2022-07-28T14:34:41,-96417,6.499384745185391e-05
15231756,2022-07-28T15:18:39,-96332,6.554862186817215e-05
15231771,2022-07-28T15:23:30,-96174,6.65924625295617e-05
15231845,2022-07-28T15:39:17,-97041,6.106236571258256e-05
15231846,2022-07-28T15:39:52,-96484,6.455986583443466e-05
15231919,2022-07-28T15:57:11,-96316,6.565357835822663e-05
15232009,2022-07-28T16:13:52,-96027,6.757855242977728e-05
15232013,2022-07-28T16:14:13,-96134,6.68593524594302e-05
15232019,2022-07-28T16:16:04,-96109,6.702670157249726e-05
15232023,2022-07-28T16:17:05,-96042,6.74772656494628e-05
15232050,2022-07-28T16:23:54,-95664,7.007659415633054e-05
15232051,2022-07-28T16:24:12,-96016,6.765292601680655e-05
15232065,2022-07-28T16:28:34,-95851,6.87784026727411e-05
15232128,2022-07-28T16:43:58,-95617,7.040671281439107e-05
15232128,2022-07-28T16:43:58,-95972,6.795123978487508e-05
15232292,2022-07-28T17:17:43,-95811,6.90540534351325e-05
15232295,2022-07-28T17:18:53,-96159,6.669242117575035e-05
15232303,2022-07-28T17:19:53,-96331,6.555517673035898e-05
15232304,2022-07-28T17:20:22,-96314,6.566670973043405e-05
15232337,2022-07-28T17:27:47,-96747,6.288415729757345e-05
15232347,2022-07-28T17:29:52,-96644,6.353517857150529e-05
15232361,2022-07-28T17:32:26,-96448,6.479268853993133e-05
15232456,2022-07-28T17:53:55,-96679,6.331320522493032e-05
