block_number,timestamp,tick,price
16677542,2023-02-21T14:42:35,19,1.0019017109693875
16680940,2023-02-22T02:10:11,-16,0.9984013591843877
16684402,2023-02-22T13:53:47,-1,0.9999000099990001
16685974,2023-02-22T19:12:35,-20,0.9980020984608853
16687034,2023-02-22T22:46:47,0,1.0
16687268,2023-02-22T23:33:59,16,1.0016012005601818
16688241,2023-02-23T02:51:11,-3,0.9997000599900016
16688282,2023-02-23T02:59:23,17,1.0017013606802379
16690013,2023-02-23T08:48:47,-7,0.9993002799160211
16690029,2023-02-23T08:52:35,8,1.000800280056007
16691336,2023-02-23T13:16:47,10,1.001000450120021
16692465,2023-02-23T17:04:59,-9,0.9991004498350495
16693232,2023-02-23T19:39:35,-4,0.9996000999800035
16694316,2023-02-23T23:19:59,2,1.00020001
16694895,2023-02-24T01:17:35,1,1.0001
16695659,2023-02-24T03:51:47,5,1.0005001000100004
16696026,2023-02-24T05:05:47,11,1.001100550165033
16696366,2023-02-24T06:15:59,14,1.0014009103641
16696711,2023-02-24T07:25:59,19,1.0019017109693875
16696712,2023-02-24T07:26:11,4,1.000400060004
16696932,2023-02-24T08:10:35,4,1.000400060004
16697606,2023-02-24T10:29:11,5,1.0005001000100004
16697711,2023-02-24T10:50:35,5,1.0005001000100004
16698288,2023-02-24T12:47:47,6,1.0006001500200015
16698522,2023-02-24T13:35:23,8,1.000800280056007
16698786,2023-02-24T14:28:35,3,1.0003000300009999
16698997,2023-02-24T15:11:11,6,1.0006001500200015
16699464,2023-02-24T16:46:11,9,1.0009003600840125
16699868,2023-02-24T18:07:35,11,1.001100550165033
16700296,2023-02-24T19:34:35,13,1.0013007802860714
16700297,2023-02-24T19:34:47,-1,0.9999000099990001
16700300,2023-02-24T19:35:23,-1,0.9999000099990001
16700590,2023-02-24T20:34:35,1,1.0001
16700738,2023-02-24T21:04:59,0,1.0
16701016,2023-02-24T22:01:35,2,1.00020001
16701356,2023-02-24T23:10:59,4,1.000400060004
16701380,2023-02-24T23:15:47,1,1.0001
16701597,2023-02-24T23:59:47,0,1.0
16701598,2023-02-24T23:59:59,2,1.00020001
16701771,2023-02-25T00:34:47,4,1.000400060004
16701926,2023-02-25T01:05:59,4,1.000400060004
16702097,2023-02-25T01:40:23,6,1.0006001500200015
16702313,2023-02-25T02:23:35,8,1.000800280056007
16702779,2023-02-25T03:57:11,9,1.0009003600840125
16702883,2023-02-25T04:18:11,9,1.0009003600840125
16703206,2023-02-25T05:23:11,10,1.001000450120021
16703276,2023-02-25T05:37:35,-8,0.9992003598800331
16703449,2023-02-25T06:12:35,-6,0.9994002099440127
16703684,2023-02-25T07:00:11,-5,0.999500149965007
16703962,2023-02-25T07:56:35,-3,0.9997000599900016
16704051,2023-02-25T08:14:47,-1,0.9999000099990001
16704072,2023-02-25T08:18:59,1,1.0001
16704101,2023-02-25T08:24:47,2,1.00020001
16704279,2023-02-25T09:01:11,4,1.000400060004
16704282,2023-02-25T09:01:47,5,1.0005001000100004
16704354,2023-02-25T09:16:11,-5,0.999500149965007
16704562,2023-02-25T09:58:35,-3,0.9997000599900016
16704678,2023-02-25T10:21:59,-2,0.9998000299960005
16705132,2023-02-25T11:54:59,0,1.0
16705501,2023-02-25T13:09:59,2,1.00020001
16705671,2023-02-25T13:43:59,4,1.000400060004
16706088,2023-02-25T15:08:23,5,1.0005001000100004
16706477,2023-02-25T16:27:59,7,1.0007002100350033
16706539,2023-02-25T16:40:35,-4,0.9996000999800035
16707010,2023-02-25T18:15:47,-2,0.9998000299960005
16707172,2023-02-25T18:48:47,-2,0.9998000299960005
16707288,2023-02-25T19:12:11,-3,0.9997000599900016
16707350,2023-02-25T19:24:59,-2,0.9998000299960005
16707880,2023-02-25T21:11:59,0,1.0
16708165,2023-02-25T22:09:35,1,1.0001
16708202,2023-02-25T22:16:59,-8,0.9992003598800331
16708302,2023-02-25T22:37:23,-17,0.9983015290314845
16708419,2023-02-25T23:01:11,-15,0.998501199320306
16708485,2023-02-25T23:14:35,-14,0.9986010494402381
16708581,2023-02-25T23:33:59,-13,0.9987009095451821
16708845,2023-02-26T00:27:35,-11,0.9989006597141001
16709093,2023-02-26T01:17:59,-10,0.9990005497800716
16709265,2023-02-26T01:52:35,-8,0.9992003598800331
16709458,2023-02-26T02:31:23,-7,0.9993002799160211
16709567,2023-02-26T02:53:47,-6,0.9994002099440127
16709679,2023-02-26T03:16:47,-5,0.999500149965007
16709697,2023-02-26T03:20:35,-7,0.9993002799160211
16709846,2023-02-26T03:50:59,-5,0.999500149965007
16709969,2023-02-26T04:15:47,-4,0.9996000999800035
16710070,2023-02-26T04:36:11,-4,0.9996000999800035
16710313,2023-02-26T05:24:47,-2,0.9998000299960005
16710655,2023-02-26T06:34:11,0,1.0
16711028,2023-02-26T07:48:59,2,1.00020001
16711355,2023-02-26T08:55:11,3,1.0003000300009999
16711812,2023-02-26T10:27:11,5,1.0005001000100004
16711961,2023-02-26T10:57:23,6,1.0006001500200015
16712097,2023-02-26T11:24:47,7,1.0007002100350033
16712147,2023-02-26T11:34:59,-2,0.9998000299960005
16712327,2023-02-26T12:11:59,-1,0.9999000099990001
16712456,2023-02-26T12:37:59,1,1.0001
16712808,2023-02-26T13:48:59,2,1.00020001
16713034,2023-02-26T14:34:35,4,1.000400060004
16713295,2023-02-26T15:27:47,5,1.0005001000100004
16714721,2023-02-26T20:15:47,8,1.000800280056007
16714721,2023-02-26T20:15:47,8,1.000800280056007
16715016,2023-02-26T21:15:11,6,1.0006001500200015
16715232,2023-02-26T21:59:23,6,1.0006001500200015
16715234,2023-02-26T21:59:47,8,1.000800280056007
16715341,2023-02-26T22:21:23,0,1.0
16715390,2023-02-26T22:31:23,2,1.00020001
16715831,2023-02-27T00:00:23,3,1.0003000300009999
16716087,2023-02-27T00:52:35,5,1.0005001000100004
16716362,2023-02-27T01:48:35,6,1.0006001500200015
16716566,2023-02-27T02:29:35,8,1.000800280056007
16717285,2023-02-27T04:54:59,8,1.000800280056007
16717352,2023-02-27T05:08:23,-1,0.9999000099990001
16717436,2023-02-27T05:25:23,1,1.0001
16717745,2023-02-27T06:27:47,3,1.0003000300009999
16717975,2023-02-27T07:13:47,4,1.000400060004
16718263,2023-02-27T08:12:11,6,1.0006001500200015
16718930,2023-02-27T10:26:59,8,1.000800280056007
16719194,2023-02-27T11:20:23,9,1.0009003600840125
16719196,2023-02-27T11:20:47,-1,0.9999000099990001
16719314,2023-02-27T11:44:59,0,1.0
16719374,2023-02-27T11:57:35,2,1.00020001
16719625,2023-02-27T12:47:59,3,1.0003000300009999
16719692,2023-02-27T13:01:23,3,1.0003000300009999
16719789,2023-02-27T13:20:59,4,1.000400060004
16719903,2023-02-27T13:44:11,2,1.00020001
16719910,2023-02-27T13:45:35,4,1.000400060004
16719917,2023-02-27T13:46:59,6,1.0006001500200015
16719982,2023-02-27T13:59:59,7,1.0007002100350033
16720071,2023-02-27T14:17:59,9,1.0009003600840125
16720270,2023-02-27T14:57:47,10,1.001000450120021
16720454,2023-02-27T15:34:59,1,1.0001
16720578,2023-02-27T15:59:59,2,1.00020001
16720709,2023-02-27T16:26:11,3,1.0003000300009999
16721151,2023-02-27T17:55:35,4,1.000400060004
16721550,2023-02-27T19:15:47,5,1.0005001000100004
16721908,2023-02-27T20:28:11,7,1.0007002100350033
16721947,2023-02-27T20:35:59,6,1.0006001500200015
16722121,2023-02-27T21:10:47,7,1.0007002100350033
16722121,2023-02-27T21:10:47,7,1.0007002100350033
16722402,2023-02-27T22:07:23,9,1.0009003600840125
16722620,2023-02-27T22:51:11,11,1.001100550165033
16722897,2023-02-27T23:46:59,12,1.0012006602200494
16722899,2023-02-27T23:47:23,5,1.0005001000100004
16722933,2023-02-27T23:54:11,5,1.0005001000100004
16723332,2023-02-28T01:15:11,6,1.0006001500200015
16723490,2023-02-28T01:47:23,7,1.0007002100350033
16723506,2023-02-28T01:50:35,8,1.000800280056007
16723507,2023-02-28T01:50:47,8,1.000800280056007
16723561,2023-02-28T02:01:35,9,1.0009003600840125
16724030,2023-02-28T03:36:11,10,1.001000450120021
16724198,2023-02-28T04:09:59,6,1.0006001500200015
16724571,2023-02-28T05:25:59,7,1.0007002100350033
16724649,2023-02-28T05:41:59,8,1.000800280056007
16725175,2023-02-28T07:28:23,9,1.0009003600840125
16725477,2023-02-28T08:29:47,10,1.001000450120021
16725495,2023-02-28T08:33:35,11,1.001100550165033
16725497,2023-02-28T08:33:59,4,1.000400060004
16725655,2023-02-28T09:05:35,5,1.0005001000100004
16725676,2023-02-28T09:09:47,6,1.0006001500200015
16725690,2023-02-28T09:12:35,7,1.0007002100350033
16725698,2023-02-28T09:14:11,8,1.000800280056007
16725756,2023-02-28T09:25:47,6,1.0006001500200015
16725815,2023-02-28T09:37:47,5,1.0005001000100004
16725845,2023-02-28T09:43:47,6,1.0006001500200015
16725944,2023-02-28T10:03:47,7,1.0007002100350033
16725946,2023-02-28T10:04:11,7,1.0007002100350033
16725952,2023-02-28T10:05:23,1,1.0001
16726305,2023-02-28T11:17:11,1,1.0001
16726400,2023-02-28T11:36:23,2,1.00020001
16726451,2023-02-28T11:46:35,2,1.00020001
16726574,2023-02-28T12:11:11,3,1.0003000300009999
16726764,2023-02-28T12:49:59,4,1.000400060004
16726934,2023-02-28T13:24:23,4,1.000400060004
16727565,2023-02-28T15:31:35,5,1.0005001000100004
16727738,2023-02-28T16:06:35,6,1.0006001500200015
16727886,2023-02-28T16:36:35,7,1.0007002100350033
16728035,2023-02-28T17:06:35,6,1.0006001500200015
16728196,2023-02-28T17:39:23,6,1.0006001500200015
16728497,2023-02-28T18:40:11,7,1.0007002100350033
16728660,2023-02-28T19:12:59,8,1.000800280056007
16728686,2023-02-28T19:18:23,8,1.000800280056007
16728741,2023-02-28T19:29:23,1,1.0001
16728840,2023-02-28T19:49:47,2,1.00020001
16729118,2023-02-28T20:46:23,2,1.00020001
16729289,2023-02-28T21:21:35,3,1.0003000300009999
16729332,2023-02-28T21:30:11,3,1.0003000300009999
16729715,2023-02-28T22:47:35,3,1.0003000300009999
16729904,2023-02-28T23:25:47,3,1.0003000300009999
16729984,2023-02-28T23:41:59,4,1.000400060004
16730046,2023-02-28T23:54:59,4,1.000400060004
16730179,2023-03-01T00:22:23,4,1.000400060004
16730279,2023-03-01T00:42:35,4,1.000400060004
16730281,2023-03-01T00:42:59,0,1.0
16730398,2023-03-01T01:06:23,0,1.0
16730451,2023-03-01T01:16:59,0,1.0
16730462,2023-03-01T01:19:23,1,1.0001
16730823,2023-03-01T02:32:11,1,1.0001
16731381,2023-03-01T04:25:23,1,1.0001
16731509,2023-03-01T04:51:23,1,1.0001
16731657,2023-03-01T05:20:59,1,1.0001
16731754,2023-03-01T05:40:35,1,1.0001
16732107,2023-03-01T06:51:59,1,1.0001
16732130,2023-03-01T06:56:35,2,1.00020001
16732151,2023-03-01T07:00:59,2,1.00020001
16732196,2023-03-01T07:09:59,2,1.00020001
16732263,2023-03-01T07:23:23,2,1.00020001
16732274,2023-03-01T07:25:35,1,1.0001
16733029,2023-03-01T09:58:11,1,1.0001
16733083,2023-03-01T10:08:59,1,1.0001
16733227,2023-03-01T10:37:59,2,1.00020001
16733381,2023-03-01T11:09:23,2,1.00020001
16733567,2023-03-01T11:47:11,3,1.0003000300009999
16733642,2023-03-01T12:02:11,3,1.0003000300009999
16733850,2023-03-01T12:44:35,-8,0.9992003598800331
16734031,2023-03-01T13:20:59,-9,0.9991004498350495
16734041,2023-03-01T13:22:59,-9,0.9991004498350495
16734245,2023-03-01T14:04:35,-9,0.9991004498350495
16734571,2023-03-01T15:10:47,-8,0.9992003598800331
16734675,2023-03-01T15:31:47,-8,0.9992003598800331
16734866,2023-03-01T16:10:35,-8,0.9992003598800331
16735197,2023-03-01T17:16:59,-7,0.9993002799160211
16735600,2023-03-01T18:38:47,-7,0.9993002799160211
16735876,2023-03-01T19:34:47,-6,0.9994002099440127
16736017,2023-03-01T20:02:59,-6,0.9994002099440127
16736034,2023-03-01T20:06:23,-6,0.9994002099440127
16736060,2023-03-01T20:11:35,-6,0.9994002099440127
16736135,2023-03-01T20:26:59,-6,0.9994002099440127
16736268,2023-03-01T20:54:11,-6,0.9994002099440127
16736710,2023-03-01T22:22:59,-6,0.9994002099440127
16737000,2023-03-01T23:21:35,-7,0.9993002799160211
16737209,2023-03-02T00:03:59,-7,0.9993002799160211
16737281,2023-03-02T00:18:59,-7,0.9993002799160211
16737397,2023-03-02T00:42:59,-7,0.9993002799160211
16737431,2023-03-02T00:49:47,-7,0.9993002799160211
16737564,2023-03-02T01:16:47,-6,0.9994002099440127
16737583,2023-03-02T01:20:35,-6,0.9994002099440127
16737742,2023-03-02T01:52:59,-6,0.9994002099440127
16738368,2023-03-02T03:58:59,-6,0.9994002099440127
16738439,2023-03-02T04:13:47,-5,0.999500149965007
16738553,2023-03-02T04:36:47,-5,0.999500149965007
16738680,2023-03-02T05:02:11,-5,0.999500149965007
16738803,2023-03-02T05:26:59,-5,0.999500149965007
16738917,2023-03-02T05:50:47,-5,0.999500149965007
16739091,2023-03-02T06:25:47,-5,0.999500149965007
16739323,2023-03-02T07:12:47,-5,0.999500149965007
16739392,2023-03-02T07:26:59,-5,0.999500149965007
16739718,2023-03-02T08:32:59,-5,0.999500149965007
16739761,2023-03-02T08:41:35,-5,0.999500149965007
16739765,2023-03-02T08:42:23,-5,0.999500149965007
16740019,2023-03-02T09:33:47,-5,0.999500149965007
16740213,2023-03-02T10:12:59,-5,0.999500149965007
16740219,2023-03-02T10:14:11,-5,0.999500149965007
16740276,2023-03-02T10:25:47,-5,0.999500149965007
16740456,2023-03-02T11:02:11,-7,0.9993002799160211
16740494,2023-03-02T11:09:47,-8,0.9992003598800331
16740914,2023-03-02T12:34:23,-7,0.9993002799160211
16741044,2023-03-02T13:01:47,-7,0.9993002799160211
16741134,2023-03-02T13:19:59,-7,0.9993002799160211
16741298,2023-03-02T13:53:35,-7,0.9993002799160211
16741423,2023-03-02T14:18:47,-7,0.9993002799160211
16741949,2023-03-02T16:05:35,-7,0.9993002799160211
16742187,2023-03-02T16:54:47,-7,0.9993002799160211
16742273,2023-03-02T17:12:11,-7,0.9993002799160211
16743170,2023-03-02T20:14:47,-7,0.9993002799160211
16743229,2023-03-02T20:26:35,-7,0.9993002799160211
16743297,2023-03-02T20:40:11,-6,0.9994002099440127
16743466,2023-03-02T21:13:59,-6,0.9994002099440127
16743807,2023-03-02T22:23:11,-6,0.9994002099440127
16743886,2023-03-02T22:38:59,-6,0.9994002099440127
16744343,2023-03-03T00:10:59,-6,0.9994002099440127
16744731,2023-03-03T01:30:59,-6,0.9994002099440127
16744762,2023-03-03T01:37:23,-6,0.9994002099440127
16744779,2023-03-03T01:40:59,-6,0.9994002099440127
16744969,2023-03-03T02:19:35,-6,0.9994002099440127
16745045,2023-03-03T02:35:23,-6,0.9994002099440127
16745152,2023-03-03T02:57:11,-6,0.9994002099440127
16745619,2023-03-03T04:31:11,-6,0.9994002099440127
16745690,2023-03-03T04:45:23,-6,0.9994002099440127
16745867,2023-03-03T05:20:47,-6,0.9994002099440127
16746122,2023-03-03T06:12:23,-6,0.9994002099440127
16746266,2023-03-03T06:41:11,-6,0.9994002099440127
16746312,2023-03-03T06:50:23,-6,0.9994002099440127
16746598,2023-03-03T07:48:47,-6,0.9994002099440127
16746803,2023-03-03T08:29:59,-6,0.9994002099440127
16747012,2023-03-03T09:11:47,-6,0.9994002099440127
16747215,2023-03-03T09:52:35,-6,0.9994002099440127
16747420,2023-03-03T10:33:47,-5,0.999500149965007
16747798,2023-03-03T11:50:59,-5,0.999500149965007
16748026,2023-03-03T12:37:23,-5,0.999500149965007
16748353,2023-03-03T13:43:59,-5,0.999500149965007
16748487,2023-03-03T14:10:59,-5,0.999500149965007
16749155,2023-03-03T16:25:47,-5,0.999500149965007
16749675,2023-03-03T18:11:11,-5,0.999500149965007
16749938,2023-03-03T19:04:23,-5,0.999500149965007
16749950,2023-03-03T19:07:11,-5,0.999500149965007
16750358,2023-03-03T20:30:23,-5,0.999500149965007
16750361,2023-03-03T20:30:59,-5,0.999500149965007
16750394,2023-03-03T20:37:35,-5,0.999500149965007
16750603,2023-03-03T21:20:35,-5,0.999500149965007
16750734,2023-03-03T21:46:59,-5,0.999500149965007
16750748,2023-03-03T21:49:47,-5,0.999500149965007
16751040,2023-03-03T22:49:35,-5,0.999500149965007
16751690,2023-03-04T01:01:11,-5,0.999500149965007
16751691,2023-03-04T01:01:23,-4,0.9996000999800035
16751839,2023-03-04T01:31:47,-4,0.9996000999800035
16751843,2023-03-04T01:32:35,-3,0.9997000599900016
16752082,2023-03-04T02:20:59,-3,0.9997000599900016
16752322,2023-03-04T03:09:47,-3,0.9997000599900016
16752743,2023-03-04T04:34:35,-3,0.9997000599900016
16752985,2023-03-04T05:23:23,-3,0.9997000599900016
16753466,2023-03-04T07:01:11,-3,0.9997000599900016
16753616,2023-03-04T07:32:23,-3,0.9997000599900016
16753861,2023-03-04T08:21:47,-3,0.9997000599900016
16754133,2023-03-04T09:17:11,-3,0.9997000599900016
16754202,2023-03-04T09:31:11,-3,0.9997000599900016
16754477,2023-03-04T10:26:47,-3,0.9997000599900016
16754729,2023-03-04T11:17:47,-3,0.9997000599900016
16754885,2023-03-04T11:49:47,-3,0.9997000599900016
16755078,2023-03-04T12:28:35,-3,0.9997000599900016
16755158,2023-03-04T12:45:11,-3,0.9997000599900016
16755281,2023-03-04T13:09:47,-3,0.9997000599900016
16755635,2023-03-04T14:21:11,-3,0.9997000599900016
16755907,2023-03-04T15:15:59,-3,0.9997000599900016
16756275,2023-03-04T16:30:47,-3,0.9997000599900016
16757636,2023-03-04T21:06:35,-3,0.9997000599900016
16757824,2023-03-04T21:44:23,-3,0.9997000599900016
16757960,2023-03-04T22:11:35,-3,0.9997000599900016
16758142,2023-03-04T22:48:23,-3,0.9997000599900016
16758147,2023-03-04T22:49:23,-3,0.9997000599900016
16758209,2023-03-04T23:01:59,-3,0.9997000599900016
16758342,2023-03-04T23:29:11,-3,0.9997000599900016
16758505,2023-03-05T00:01:59,-3,0.9997000599900016
