block_number,total_supply,total_deposit,timestamp,time
11473816,0,0,1608249573,2020-12-17 23:59:33
11480216,1530000000000000000,1530000000000000000,1608334822,2020-12-18 23:40:22
11486816,2272456883201821110722,2272456883201821110722,1608422285,2020-12-19 23:58:05
11493316,4160971433296479103334,4160971433296479103334,1608508100,2020-12-20 23:48:20
11499816,5570490082029795721477,5570490082029795721477,1608594280,2020-12-21 23:44:40
11506316,7528446874837181168979,7528446874837181168979,1608680829,2020-12-22 23:47:09
11512916,7703265534473006088979,7703265534473006088979,1608767276,2020-12-23 23:47:56
11519416,9331067007517394349912,9331067007517394349912,1608854063,2020-12-24 23:54:23
11525816,11720517890788727002822,11720517890788727002822,1608939900,2020-12-25 23:45:00
11532416,11984396339385580095635,11984396339385580095635,1609026665,2020-12-26 23:51:05
11538916,15418091506997310467025,15418091506997310467025,1609112923,2020-12-27 23:48:43
11545516,15571580108237310467025,15571580108237310467025,1609199416,2020-12-28 23:50:16
11551916,16044547496843571290653,16044547496843571290653,1609285522,2020-12-29 23:45:22
11558516,16634647762043396210653,16634647762043396210653,1609372786,2020-12-30 23:59:46
11565016,16824470211468509922682,16824470211468509922682,1609459164,2020-12-31 23:59:24
11571516,16923448669911327004556,16923448669911327004556,1609545038,2021-01-01 23:50:38
11578116,17125174539982412384408,17125174539982412384408,1609631316,2021-01-02 23:48:36
11584616,17162612041320766288546,17162612041320766288546,1609718086,2021-01-03 23:54:46
11591116,17364174269181212631936,17364174269181212631936,1609804281,2021-01-04 23:51:21
11597616,17807457609734297581673,17807457609734297581673,1609890348,2021-01-05 23:45:48
11604116,18319332626574680275690,18319332626574680275690,1609976666,2021-01-06 23:44:26
11610516,18920793680901139062149,18920793680901139062149,1610062534,2021-01-07 23:35:34
11617116,20349658627078750017980,20349658627078750017980,1610149278,2021-01-08 23:41:18
11623616,21576554276400779159271,21576554276400779159271,1610235825,2021-01-09 23:43:45
11630216,25405289476052736618863,25405289476052736618863,1610323031,2021-01-10 23:57:11
11636716,26236628739262968938757,26236628739262968938757,1610408968,2021-01-11 23:49:28
11643316,28128313502496484768380,28128313502496484768380,1610495993,2021-01-12 23:59:53
11649816,47016731742391694685879,47016731742391694685879,1610581452,2021-01-13 23:44:12
11656216,63122732095922535454953,63122732095922535454953,1610667933,2021-01-14 23:45:33
11662816,66857292823090562952115,66857292823090562952115,1610754503,2021-01-15 23:48:23
11669316,70653848693767535793772,70653848693767535793772,1610840968,2021-01-16 23:49:28
11675816,71331743461002840190196,71331743461002840190196,1610927390,2021-01-17 23:49:50
11682316,71467765695116429457448,71467765695116429457448,1611013849,2021-01-18 23:50:49
11688816,74042286628137115823550,74042286628137115823550,1611099792,2021-01-19 23:43:12
11695416,76711190525217459481955,76711190525217459481955,1611186395,2021-01-20 23:46:35
11701916,77040803196628380656985,77040803196628380656985,1611273301,2021-01-21 23:55:01
11708416,77151703989775277510440,77151703989775277510440,1611359828,2021-01-22 23:57:08
11714916,88808923217468067512877,88808923217468067512877,1611445650,2021-01-23 23:47:30
11721416,90206441149687879162936,90206441149687879162936,1611532304,2021-01-24 23:51:44
11727916,91349303635739539054259,91349303635739539054259,1611618247,2021-01-25 23:44:07
11734416,95440011425078282786470,95440011425078282786470,1611704598,2021-01-26 23:43:18
11740916,97372364177641123373521,97372364177641123373521,1611791390,2021-01-27 23:49:50
11747416,100294190020349957620726,100294190020349957620726,1611877726,2021-01-28 23:48:46
