totalRewardsWithFees,totalPooledEtherBefore,totalPooledEtherAfter,totalSharesBefore,totalSharesAfter,block,blockTime,transactionIndex,totalRewards
1043866131901592280228,6828175149373990075281495,6828229940605521525197008,6063187089607645638541431,6062401502861679851773457,17364611,1685362919,3,939479516615326612812
875035257857133661903,6808118704712562921009880,6808493427839231037454154,6046077005486721948778707,6045710390885038272211638,17357492,1685276591,3,787531731281021207809
1049438027128575034482,6774439788983999461002676,6775071982455237936992621,6017006643667492063172297,6016729246404845823077470,17350349,1685190047,1,944494223495792677054
1020771585318370731980,6722741080170185675538553,6722039111439039164583032,5971904428726795522331580,5970464754634333993664110,17343240,1685103743,96,918694423141933504086
1018712442343995453355,6681126749751233937771257,6680815989288421001144245,5935752445853848076724793,5934661787231929906044623,17336142,1685017523,4,916841195312343884021
1015311907376814385748,6661232064451663475397819,6659462752233940300883231,5918889470660583378472176,5916505374054913051908183,17329007,1684930859,3,913780710795107852646
1023834259536362574624,6639307112444757909629764,6638940529526197453907871,5900226829462842034703360,5899082154224436282319836,17321909,1684844591,5,921450830409877186443
934640795724688736391,6506536095002864019648103,6507092904457460038188649,5782983316069643424471021,5782730560049333107364303,17314816,1684758299,2,841176715437766052654
891497045940299184755,6463675928174300938759822,6464235471916778334665718,5745602538681622980528487,5745386691076805936681128,17307714,1684671743,0,802347340652152453753
902794295080998690001,6425261597949580771737429,6423829415728270503235414,5712178309109872283470421,5710182720978573736709261,17300635,1684585631,6,812514861421783226738
1068798994213742781750,6394440676484895961213425,6395062465608019733587107,5685633160250786966062335,5685330712932550535763983,17293521,1684499135,212,961919093563312550469
1016291141908654801170,6349026642535361006200461,6348106238557459244242843,5646066679020789588855321,5644434777144255035928146,17286461,1684413239,10,914662023248767506137
964350836221163823375,6740462242103691872876563,6304092795806758601255607,5994988391755349941426166,5606107877607841136643644,17279454,1684327751,3,867914887504751058562
1199181583786853385871,6721680547593358725697807,6711436779126918302447177,5979245430563764751595154,5969173053376305076162803,17272708,1684245575,3,1079263392579205454078
956531955091482453278,6675268422225755951280337,6676224954180847433733615,5938725491954809828501671,5938810579891988228509185,17265162,1684153487,0,860878759582334207962
953506876739728253940,6634810804034063438614953,6635764310910803166868893,5903495397884033601028236,5903580227665212053369610,17258098,1684067255,0,858156189065755428563
1110750099662204755428,6620428897088051227244411,6621539647187713431999839,5891588209192361247678911,5891687041070092683770407,17251039,1683980711,1,999675089695984279901
1438589644282784146134,6576880631109718967809755,6578319220754001751955889,5853986350728070594585353,5854114372309721454201286,17244114,1683894299,0,1294730679854505731536
1420426947280600478303,6464684613400632749046979,6466105040347913349525282,5755260169012339953121302,5755386599161037725009716,17237095,1683807911,0,1278384252552540430483
1225700361590003116347,6432400695731154936767248,6433626396092744939883595,5727501112821470602152243,5727610232212315753030971,17229995,1683721547,6,1103130325431002804727
1252038303545615188833,6394602046099454569992565,6395854084403000185181398,5694848006762804758193508,5694959490035008426496661,17222868,1683635015,0,1126834473191053669966
1489018710929863585473,6375832801142895418090903,6377321819853825281676376,5679326128341039138707057,5679458736049491361758453,17215749,1683548579,144,1340116839836877226941
1366484856971331106804,6334857131988089352731869,6336223616845060683838673,5643922197017789351460199,5644043917793635112461812,17208645,1683462287,3,1229836371274197996143
1597704601076075398011,6315940339340276972036384,6317538043941353047434395,5628349735721515392850207,5628492080217601301868683,17201532,1683375887,88,1437934140968467858227
1174404452212953057792,6302057728670994549421895,6303232133123207502479687,5616920364776934560789473,5617025019961010181423745,17194425,1683289619,8,1056964006991657752028
1121564063081397238782,6279849349464785282029523,6280970913527866679268305,5598026070225071642407604,5598126033384686373173688,17187303,1683203267,0,1009407656773257514924
1137719366558506971118,6270002083458150619507107,6271139802824709126478225,5590160727496323445227596,5590262146850836102253090,17180184,1683116783,87,1023947429902656274019
1181888355279663878171,6222038925299889476801008,6223220813655169140679179,5548346465183154695173381,5548451839085428195069247,17173091,1683030539,0,1063699519751697490367
1068817173767222801685,6215188021925446300517198,6216256839099213523318883,5543095126397914012332170,5543190435476805906251818,17165986,1682944175,0,961935456390500521534
864806945044687132820,6210456785789478583083350,6211321592734523270216170,5539569673033718726843981,5539646801949938822113689,17158865,1682857727,0,778326250540218419555
844864015857583296470,6202156164171139738216059,6203001028186997321512529,5532843966945918584681947,5532919326669712028619026,17151747,1682771183,0,760377614271824966840
906060309526328270298,6195368700029589741976321,6196274760339116070246619,5527516432800327503918621,5527597260986276959928291,17144630,1682684987,87,815454278573695443286
948980317364259820596,6169178445909009527445408,6170127426226373787266004,5504911465615520046659411,5504996133769307406611826,17137496,1682598311,5,854082285627833838557
841935577839208675192,6162486152617719193058211,6163328088195558401733403,5499615917817260295640407,5499691045824277667096051,17130380,1682511875,0,757742020055287807683
904311587469954272534,6151903173632552322859565,6152807485220022277132099,5490897636170343727564754,5490978340066108325021299,17123252,1682425475,0,813880428722958845296
872279883718849137435,6136083754990134903919339,6136956034873853753056774,5477478671907929615153065,5477556527482317055106031,17116131,1682339111,0,785051895346964223706
887564261197600484379,6116284384259709947425990,6117171948520907547910369,5460517498923797763011668,5460596728844782852165743,17108998,1682252723,6,798807835077840435965
863253751870216558219,6107401658326709180232211,6108264912078579396790430,5453280776983118555228783,5453357846849755724033064,17101874,1682166395,1,776928376683194902412
987457964337243179496,6080687674090684176737717,6081675132055021419917213,5430221468359223186903804,5430309638187183617914589,17094734,1682079707,18,888712167903518861561
1085246740318749622913,6071696283672242836648836,6072781530412561586271749,5423064148911113778661089,5423161064432245638296138,17087690,1681993499,0,976722066286874660632
1113025971344345822508,6056210717592776091205867,6057323743564120437028375,5410127597996244904336525,5410227010268532572692084,17080630,1681907111,0,1001723374209911240268
898650576536010345830,6037097142723303389325875,6037995793299839399671705,5393775583401795775976411,5393855861557754741374789,17073552,1681820735,0,808785518882409311259
842841234365983932895,6009836542145003656550460,6010679383379369640483355,5370097634946576284845851,5370172937635321106897794,17066479,1681734311,1,758557110929385539621
713829126880825467540,5983152460011468798099792,5983866289138349623567332,5346828095670440555272865,5346891879969383410128306,17059432,1681647923,0,642446214192742920806
835534993134321131172,5971644438993542958674981,5972479973986677279806153,5337215989893427508145868,5337290657253252696913143,17052431,1681561955,0,751981493820889018072
911798770358027360447,5954639359898563281047968,5955551158668921308408415,5322750969301773128562773,5322832462214260400161648,17045403,1681475195,60,820618893322224624423
719760745933900751752,5943466532740199910512552,5944186293486133811264304,5313342812616915961195877,5313407150807300513721284,17038550,1681388987,178,647784671340510676593
789214304421258975671,5938443983744731399407472,5939233198049152658383143,5309487740001790926502168,5309558294216724443231589,17031924,1681302443,0,710292873979133078123
799811441476478107956,5934175954341322688132951,5934975765782799166240907,5306315340008731354656817,5306386850139237875964529,17024844,1681215983,0,719830297328830297181
709756144575971889096,5932030173965262728656600,5932739930109838700545696,5304967787044101031565213,5305031253141948596507368,17017785,1681129559,132,638780530118374700205
1564701222411826922028,5929170374477187978623060,5930735075699599805545088,5303669660886159490596309,5303809590882093659576305,17010726,1681043099,0,1408231100170644229837
706744225468467286984,5925835387531699236865312,5926542131757167704152296,5301255467320750101314613,5301318685910702563453593,17004926,1680972191,0,636069802921620558295
758186936956909121175,5919940444640845068626794,5920698631577801977747969,5296592295288075773237225,5296660122731498365046048,16996593,1680870287,0,682368243261218209071
745915629510382386203,5916807504481609353070033,5917553420111119735456236,5294389878396833243925032,5294456615740107975747954,16989549,1680783875,0,671324066559344147599
785239503224506036203,5912545934805043893815438,5913331174308268399851641,5291208976588341889343972,5291279240224176589739135,16982571,1680697607,0,706715552902055432599
811175997990906996568,5909538239271387246103759,5910349415269378153100327,5289170691526463575265799,5289243284649113099655686,16975547,1680611543,150,730058398191816296924
738366573500969146343,5903029559124057453283341,5903767925697558422429684,5283940044584505506228712,5284006130066687708904952,16968493,1680524867,32,664529916150872231729
700984199481288376027,5899625388978919583725080,5900326373178400872101107,5281457612781027745706628,5281520359518870776568506,16961395,1680438347,0,630885779533159538443
793289490744924439209,5897285757608916785469259,5898079047099661709908468,5280002281127561859167792,5280073297921744431909247,16954281,1680351935,0,713960541670431995305
751118385754808768198,5887001427963011278165267,5887752546348766086933465,5271399684956326908810854,5271466934653105893427533,16947175,1680265595,0,676006547179327891401
859885357809066682920,5883133212097343237625282,5883993097455152304308202,5268628937805779399996923,5268705934549532895017515,16940032,1680178955,0,773896822028160014646
807489113947382847209,5879742251110033487920093,5880549740223980870767302,5266242999868081270585519,5266315314404559183272750,16932931,1680092663,0,726740202552644562506
943861465826295960639,5874878514435401368467687,5875822375901227664428326,5262647591283893014176669,5262732129068458563110292,16925804,1680006155,0,849475319243666364590
812010092969802737103,5869439693518681929630549,5870251703611651732367652,5258430209244070532904208,5258502948160277320634328,16918699,1679919875,0,730809083672822463413
737533792110552779514,5865473941952103093328427,5866211475744213646107941,5255471973744396995803053,5255538049386626611679490,16911586,1679833523,0,663780412899497501577
746559897672711276324,5860989351116372491483968,5861735911014045202760292,5252055801497763837388886,5252122693357786910322630,16904462,1679747087,0,671903907905440148706
818301047192501012555,5855844336493145004841046,5856662637540337505853601,5248105288021698342597501,5248178616303065386091862,16897340,1679660663,1,736470942473250911318
829973627132681358243,5847923025716929521102276,5848752999344062202460519,5241675529864578039647062,5241749913484277911997988,16890209,1679574131,0,746976264419413222437
760694548140950807449,5841335096136820045154278,5842095790684960995961727,5236384214206414989292214,5236452397627796514522105,16883102,1679487731,0,684625093326855726716
842259520551847370019,5836033901040044570679024,5836876160560596418049043,5232311559767363468596220,5232387062959443641865316,16875991,1679401427,0,758033568496662633028
1524462478337620888427,5824726886554187093947713,5826251349032524714836140,5223404310923505418413055,5223540987008379018024840,16868834,1679314679,112,1372016230503858799603
756716012275763747727,5815889451448657789233541,5816646167460933552981268,5216089954878164220451182,5216157814432056615599548,16861745,1679228615,0,681044411048187372974
813046573674868100196,5811375250648106672808814,5812188297221781540909010,5212697585412487902733795,5212770505025234964717931,16854618,1679142227,0,731741916307381290191
1049598934500104387871,5805226585041979004956435,5806276183976479109344306,5208029668518431370291173,5208123815628117843221792,16847513,1679055875,0,944639041050093949096
946599369272475852486,5801041332521902412288539,5801987931891174888141025,5205039260960508255676180,5205124183013543610870517,16840387,1678969475,5,851939432345228267255
