block_number,total_supply,timestamp,time
13329306,18000000000000000000000000,1633034878,2021-09-30 20:47:58
13336306,18000000000000000000000000,1633129207,2021-10-01 23:00:07
13342306,18000000000000000000000000,1633210068,2021-10-02 21:27:48
13349306,18002406251108043000000000,1633305302,2021-10-03 23:55:02
13355306,18002406251108043000000000,1633386643,2021-10-04 22:30:43
13361306,18002406251108043000000000,1633467381,2021-10-05 20:56:21
13368306,18009626934618979780630721,1633562116,2021-10-06 23:15:16
13374306,18009626934618979780630721,1633643430,2021-10-07 21:50:30
13380306,18009626934618979780630721,1633724427,2021-10-08 20:20:27
13387306,18009626934618979780630721,1633819612,2021-10-09 22:46:52
13393306,18009626934618979780630721,1633901240,2021-10-10 21:27:20
13400306,18009626934618979780630721,1633995856,2021-10-11 23:44:16
13406306,18009626934618979780630721,1634077439,2021-10-12 22:23:59
13412306,18009626934618979780630721,1634159421,2021-10-13 21:10:21
13419306,18009626934618979780630721,1634254939,2021-10-14 23:42:19
13425306,18009626934618979780630721,1634336775,2021-10-15 22:26:15
13431306,18009626934618979780630721,1634417772,2021-10-16 20:56:12
13438306,18009626934618979780630721,1634512304,2021-10-17 23:11:44
13444306,18009626934618979780630721,1634594204,2021-10-18 21:56:44
13450306,18009626934618979780630721,1634674854,2021-10-19 20:20:54
13457306,18009626934618979780630721,1634769754,2021-10-20 22:42:34
13463306,18009626934618979780630721,1634850213,2021-10-21 21:03:33
13470306,18009626934618979780630721,1634944478,2021-10-22 23:14:38
13476306,18009626934618979780630721,1635025494,2021-10-23 21:44:54
13482306,18009626934618979780630721,1635107522,2021-10-24 20:32:02
13489306,18009626934618979780630721,1635201474,2021-10-25 22:37:54
13495306,18009626934618979780630721,1635282646,2021-10-26 21:10:46
13502306,18009626934618979780630721,1635377469,2021-10-27 23:31:09
13508306,18009626934618979780630721,1635459027,2021-10-28 22:10:27
13514306,18009626934618979780630721,1635540463,2021-10-29 20:47:43
13521306,18009626934618979780630721,1635635259,2021-10-30 23:07:39
13527306,18009626934618979780630721,1635717072,2021-10-31 21:51:12
13533306,18009626934618979780630721,1635798479,2021-11-01 20:27:59
13540306,18009626934618979780630721,1635893725,2021-11-02 22:55:25
13546306,18009626934618979780630721,1635974829,2021-11-03 21:27:09
13552306,18009626934618979780630721,1636057233,2021-11-04 20:20:33
13559306,18009626934618979780630721,1636151463,2021-11-05 22:31:03
13565306,18009626934618979780630721,1636233336,2021-11-06 21:15:36
13572306,18009626934618979780630721,1636327016,2021-11-07 23:16:56
13578306,18009626934618979780630721,1636409108,2021-11-08 22:05:08
