block_number,total_supply,timestamp,time
15692046,1001000000000000000,1665095327,2022-10-06 22:28:47
15699046,1001000000000000000,1665179987,2022-10-07 21:59:47
15706046,1001000000000000000,1665264335,2022-10-08 21:25:35
15713046,1001000000000000000,1665348743,2022-10-09 20:52:23
15721046,1001000000000000000,1665445247,2022-10-10 23:40:47
15728046,1001000000000000000,1665529655,2022-10-11 23:07:35
15735046,37201000000000000000,1665614099,2022-10-12 22:34:59
15742046,37451078205269175433,1665698603,2022-10-13 22:03:23
15749046,743854034685269175433,1665783035,2022-10-14 21:30:35
15756046,775854034685269175433,1665867431,2022-10-15 20:57:11
15764046,775854034685269175433,1665963995,2022-10-16 23:46:35
15771046,776953094685269175433,1666048547,2022-10-17 23:15:47
15778046,776963094685269175433,1666132907,2022-10-18 22:41:47
15785046,916963094685269175433,1666217459,2022-10-19 22:10:59
15792046,1039273094685269175433,1666301903,2022-10-20 21:38:23
15799046,1678838578508131545433,1666386275,2022-10-21 21:04:35
15807046,1696249390486411767733,1666482719,2022-10-22 23:51:59
15814046,1837661947610901941733,1666567163,2022-10-23 23:19:23
15821046,2043663359370173357513,1666652099,2022-10-24 22:54:59
15828046,2052463359370173357513,1666736651,2022-10-25 22:24:11
15835046,2080244465323427816463,1666821035,2022-10-26 21:50:35
15842046,2117613909281337282003,1666905515,2022-10-27 21:18:35
15849046,2138666522348224751725,1666990067,2022-10-28 20:47:47
15857046,2235389848096042832002,1667086751,2022-10-29 23:39:11
15864046,2467633096346924855486,1667171123,2022-10-30 23:05:23
15871046,2739786723698378395386,1667255591,2022-10-31 22:33:11
15878046,3358072381084383773678,1667340323,2022-11-01 22:05:23
15885046,3788329307913200473817,1667424863,2022-11-02 21:34:23
15892046,4844779407913200473817,1667509379,2022-11-03 21:02:59
15900046,4905339419007535933557,1667605811,2022-11-04 23:50:11
15907046,5023432487377119180013,1667690303,2022-11-05 23:18:23
15914046,5196747117891757669333,1667774675,2022-11-06 22:44:35
15921046,5336747117891757669333,1667859059,2022-11-07 22:10:59
15928046,5354632989960663288033,1667943443,2022-11-08 21:37:23
15935046,5498352989960663288033,1668028115,2022-11-09 21:08:35
15943046,5856822356392024547563,1668124631,2022-11-10 23:57:11
15950046,5859822356392024547563,1668209207,2022-11-11 23:26:47
15957046,5927093309176547712523,1668293591,2022-11-12 22:53:11
15964046,5950147783084831578123,1668377927,2022-11-13 22:18:47
15971046,5984493362728555573423,1668462299,2022-11-14 21:44:59
15978046,6464569062034775370025,1668546887,2022-11-15 21:14:47
15985046,6582872794916979460555,1668631487,2022-11-16 20:44:47
15993046,14877581198577094914330,1668728003,2022-11-17 23:33:23
16000046,15420483893637500034830,1668812459,2022-11-18 23:00:59
16007046,16740062393651760956230,1668896915,2022-11-19 22:28:35
16014046,16896808409708580530630,1668981335,2022-11-20 21:55:35
16021046,17016176835195981326280,1669065779,2022-11-21 21:22:59
16028046,17219001835195981326280,1669150355,2022-11-22 20:52:35
16036046,18509174459432714140694,1669247147,2022-11-23 23:45:47
16043046,18874006324725340900694,1669331567,2022-11-24 23:12:47
16050046,19265335163711816830694,1669416107,2022-11-25 22:41:47
16057046,20317724212007452892494,1669500563,2022-11-26 22:09:23
16064046,21010403410215821490494,1669585007,2022-11-27 21:36:47
16071046,21786865090292273913824,1669669367,2022-11-28 21:02:47
16079046,24625547087196971238534,1669765967,2022-11-29 23:52:47
16086046,25227937529090404195424,1669850531,2022-11-30 23:22:11
16093046,26257189755608318818084,1669934987,2022-12-01 22:49:47
16100046,26908358081147665041326,1670019383,2022-12-02 22:16:23
16107046,28709129976411397076326,1670103815,2022-12-03 21:43:35
16114046,29853792736418685443326,1670188343,2022-12-04 21:12:23
16121046,31562025265407123648730,1670273015,2022-12-05 20:43:35
16129046,31728906607651256959730,1670369387,2022-12-06 23:29:47
16136046,32088787756932032044730,1670454911,2022-12-07 23:15:11
16143046,35372259990701883179970,1670539355,2022-12-08 22:42:35
16150046,35916355623096454499541,1670623919,2022-12-09 22:11:59
16157046,36851036479366052680744,1670708339,2022-12-10 21:38:59
16164046,37592579594290655946935,1670792819,2022-12-11 21:06:59
16172046,41770372924428027428973,1670889395,2022-12-12 23:56:35
16179046,42377051111957140734573,1670973983,2022-12-13 23:26:23
16186046,42756017114406355892503,1671058403,2022-12-14 22:53:23
16193046,42880463523642087367297,1671142919,2022-12-15 22:21:59
16200046,43905073220750606647197,1671227387,2022-12-16 21:49:47
16207046,44201495787767639160811,1671311831,2022-12-17 21:17:11
16214046,44258122209223268011311,1671396251,2022-12-18 20:44:11
16222046,44672142209223268011311,1671492755,2022-12-19 23:32:35
16229046,45294295258326251305441,1671577139,2022-12-20 22:58:59
16236046,45572775258326251305441,1671661547,2022-12-21 22:25:47
16243046,45867424534346251305441,1671745859,2022-12-22 21:50:59
16250046,45971675091356251305441,1671830075,2022-12-23 21:14:35
16257046,45980185365402689057341,1671914483,2022-12-24 20:41:23
16265046,46017335365402689057341,1672010891,2022-12-25 23:28:11
16272046,46031032699517541110041,1672095335,2022-12-26 22:55:35
16279046,46291597699517541110041,1672179839,2022-12-27 22:23:59
16286046,46516740309975379325041,1672264187,2022-12-28 21:49:47
16293046,46649571609975379325041,1672348643,2022-12-29 21:17:23
16300046,46710189231333354916441,1672433039,2022-12-30 20:43:59
16308046,46711045272601153812681,1672529483,2022-12-31 23:31:23
16315046,46754424272601153812681,1672613807,2023-01-01 22:56:47
16322046,46866724375072794072021,1672698155,2023-01-02 22:22:35
16329046,47403800228655945132481,1672782527,2023-01-03 21:48:47
16336046,47729627438511402671981,1672866887,2023-01-04 21:14:47
16343046,49032864647157361544981,1672951403,2023-01-05 20:43:23
16351046,49298423176886943934031,1673047943,2023-01-06 23:32:23
