block_number,total_supply,timestamp,time
13329304,0,1633034840,2021-09-30 20:47:20
13336304,0,1633129180,2021-10-01 22:59:40
13342304,16000000000000000000,1633210042,2021-10-02 21:27:22
13349304,16000000000000000000,1633305277,2021-10-03 23:54:37
13355304,33496974558165526597,1633386598,2021-10-04 22:29:58
13361304,33496974558165526597,1633467361,2021-10-05 20:56:01
13368304,33496974558165526597,1633562099,2021-10-06 23:14:59
13374304,33496974558165526597,1633643423,2021-10-07 21:50:23
13380304,33496974558165526597,1633724409,2021-10-08 20:20:09
13387304,33496974558165526597,1633819558,2021-10-09 22:45:58
13393304,33496974558165526597,1633901224,2021-10-10 21:27:04
13400304,33496974558165526597,1633995801,2021-10-11 23:43:21
13406304,33496974558165526597,1634077376,2021-10-12 22:22:56
13412304,33496974558165526597,1634159376,2021-10-13 21:09:36
13419304,33496974558165526597,1634254908,2021-10-14 23:41:48
13425304,33496974558165526597,1634336764,2021-10-15 22:26:04
13431304,33496974558165526597,1634417753,2021-10-16 20:55:53
13438304,33496974558165526597,1634512223,2021-10-17 23:10:23
13444304,33496974558165526597,1634594188,2021-10-18 21:56:28
13450304,33496974558165526597,1634674769,2021-10-19 20:19:29
13457304,33496974558165526597,1634769744,2021-10-20 22:42:24
13463304,33496974558165526597,1634850176,2021-10-21 21:02:56
13470304,33496974558165526597,1634944462,2021-10-22 23:14:22
13476304,33496974558165526597,1635025480,2021-10-23 21:44:40
13482304,33496974558165526597,1635107497,2021-10-24 20:31:37
13489304,33496974558165526597,1635201423,2021-10-25 22:37:03
13495304,33496974558165526597,1635282632,2021-10-26 21:10:32
13502304,33496974558165526597,1635377460,2021-10-27 23:31:00
13508304,33496974558165526597,1635458988,2021-10-28 22:09:48
13514304,33496974558165526597,1635540441,2021-10-29 20:47:21
13521304,33496974558165526597,1635635227,2021-10-30 23:07:07
13527304,33496974558165526597,1635717047,2021-10-31 21:50:47
13533304,33496974558165526597,1635798437,2021-11-01 20:27:17
13540304,48943894349689219566,1635893714,2021-11-02 22:55:14
13546304,48943894349689219566,1635974741,2021-11-03 21:25:41
13552304,64881444954096394090,1636057222,2021-11-04 20:20:22
13559304,80818995558503568614,1636151456,2021-11-05 22:30:56
13565304,80818995558503568614,1636233308,2021-11-06 21:15:08
13572304,80818995558503568614,1636327005,2021-11-07 23:16:45
13578304,80818995558503568614,1636409095,2021-11-08 22:04:55
13584304,398445951508388034092,1636489907,2021-11-09 20:31:47
13591304,970997216621424566060,1636584734,2021-11-10 22:52:14
13597304,1035675757171998667865,1636666102,2021-11-11 21:28:22
13604304,1035675757171998667865,1636760640,2021-11-12 23:44:00
13610304,1035675757171998667865,1636842386,2021-11-13 22:26:26
13616304,1035675757171998667865,1636924113,2021-11-14 21:08:33
13623304,1938400750252253236713,1637019781,2021-11-15 23:43:01
13629304,2188195758510398203199,1637102616,2021-11-16 22:43:36
13635304,2249709550920755487573,1637183262,2021-11-17 21:07:42
13642304,2332122936598820863293,1637278595,2021-11-18 23:36:35
13648304,2607655280030692682451,1637362520,2021-11-19 22:55:20
13654304,2834616733721695945792,1637444729,2021-11-20 21:45:29
13660304,2946217709140246220511,1637526456,2021-11-21 20:27:36
13667304,3259585215930235054804,1637622121,2021-11-22 23:02:01
13673304,4750566950605072961899,1637704298,2021-11-23 21:51:38
13679304,5609110121806861135340,1637785491,2021-11-24 20:24:51
13686304,6524021764924808164120,1637881857,2021-11-25 23:10:57
13692304,7375054163149940822373,1637964571,2021-11-26 22:09:31
13698304,8232460088001375932697,1638046429,2021-11-27 20:53:49
13705304,8963975887669513852899,1638142916,2021-11-28 23:41:56
13711304,12031885854203062222998,1638226422,2021-11-29 22:53:42
13717304,12811522835728661258435,1638309215,2021-11-30 21:53:35
13723304,13182126411209606081563,1638392428,2021-12-01 21:00:28
13730304,13424530038602880969566,1638489156,2021-12-02 23:52:36
13736304,13588295730812113714050,1638571696,2021-12-03 22:48:16
13742304,13826820987307778828645,1638655846,2021-12-04 22:10:46
13748304,14411808480325421916723,1638738550,2021-12-05 21:09:10
13754304,16569015506558410945937,1638821447,2021-12-06 20:10:47
13761304,20501972616655350406734,1638917921,2021-12-07 22:58:41
13767304,21838579010490933863039,1639000808,2021-12-08 22:00:08
13773304,23357188424876796541815,1639083721,2021-12-09 21:02:01
13780304,25430105443398136936317,1639178137,2021-12-10 23:15:37
13786304,26114662756723113417211,1639258628,2021-12-11 21:37:08
13793304,27225127748800168387858,1639350973,2021-12-12 23:16:13
13799304,28059545745632343581865,1639430984,2021-12-13 21:29:44
13806304,28573546346436660846406,1639525290,2021-12-14 23:41:30
13812304,28859167417767737795243,1639605676,2021-12-15 22:01:16
13818304,29049054478956750605735,1639686010,2021-12-16 20:20:10
13825304,29414914562875317365897,1639780222,2021-12-17 22:30:22
13831304,29998736107417616394197,1639859601,2021-12-18 20:33:21
13838304,30715836253383099881978,1639953674,2021-12-19 22:41:14
13844304,31554052097213233005319,1640032588,2021-12-20 20:36:28
13851304,32116528239587664191537,1640126161,2021-12-21 22:36:01
13857304,32526630841986710298740,1640207307,2021-12-22 21:08:27
13864304,31895816747052817164003,1640300860,2021-12-23 23:07:40
13870304,33089614497590338497320,1640381235,2021-12-24 21:27:15
13877304,33345611770259003364163,1640474863,2021-12-25 23:27:43
13883304,33803042017350520294815,1640554952,2021-12-26 21:42:32
13890304,33920681591790180853103,1640648470,2021-12-27 23:41:10
13896304,34569511364363621744532,1640729002,2021-12-28 22:03:22
13903304,34929025516532192118805,1640821752,2021-12-29 23:49:12
13909304,35215056682300666080972,1640902023,2021-12-30 22:07:03
13915304,36176580047527528800196,1640983337,2021-12-31 20:42:17
13922304,36537549814013841449516,1641076900,2022-01-01 22:41:40
13928304,36576598779382179111342,1641156721,2022-01-02 20:52:01
13935304,37409178995137707981828,1641249893,2022-01-03 22:44:53
13941304,37606754079507951571089,1641330382,2022-01-04 21:06:22
13948304,37719886173467127620669,1641423744,2022-01-05 23:02:24
13954304,37562724267493362474553,1641504578,2022-01-06 21:29:38
13961304,37764007746623811912171,1641598801,2022-01-07 23:40:01
13967304,37902101466444921280203,1641678539,2022-01-08 21:48:59
13974304,37944894338337789976010,1641771209,2022-01-09 23:33:29
13980304,37999758492004511821562,1641852186,2022-01-10 22:03:06
13987304,38373655631152020887672,1641944731,2022-01-11 23:45:31
13993304,39056854422265194489345,1642024825,2022-01-12 22:00:25
13999304,39058020167318062306498,1642105592,2022-01-13 20:26:32
14006304,39582129633456625668431,1642198864,2022-01-14 22:21:04
14012304,39641635307509046688963,1642279639,2022-01-15 20:47:19
14019304,40317797804901785144449,1642372981,2022-01-16 22:43:01
14025304,40800546677695040485343,1642452654,2022-01-17 20:50:54
14032304,40814948936388176830094,1642545751,2022-01-18 22:42:31
14038304,41044298223648666213853,1642626546,2022-01-19 21:09:06
14045304,41464161493067748020813,1642719356,2022-01-20 22:55:56
14051304,41702095018240711057902,1642800324,2022-01-21 21:25:24
14058304,41864906605254926153691,1642893037,2022-01-22 23:10:37
14064304,41875129385726707885676,1642972800,2022-01-23 21:20:00
14071304,42308060913026412973657,1643066843,2022-01-24 23:27:23
14077304,42428998250508916990925,1643147641,2022-01-25 21:54:01
14084304,42547869759873258102788,1643241189,2022-01-26 23:53:09
14090304,42623072380737596518777,1643321351,2022-01-27 22:09:11
14096304,42778462693682567915571,1643401402,2022-01-28 20:23:22
14103304,43069973111318085770615,1643494572,2022-01-29 22:16:12
14109304,42863851000831579040091,1643574062,2022-01-30 20:21:02
14116304,43485970862774423455896,1643667275,2022-01-31 22:14:35
14122304,43608356402179990354373,1643747373,2022-02-01 20:29:33
14129304,43888097312583874848655,1643840851,2022-02-02 22:27:31
14135304,42564186564857100285766,1643921793,2022-02-03 20:56:33
14142304,43426713027835075125484,1644013955,2022-02-04 22:32:35
14148304,43665708366554302858918,1644095275,2022-02-05 21:07:55
14155304,43841831030084351931957,1644187907,2022-02-06 22:51:47
14161304,44321010516552227363459,1644268287,2022-02-07 21:11:27
14168304,44423132588451436520953,1644361565,2022-02-08 23:06:05
14174304,45284037734517459658590,1644442105,2022-02-09 21:28:25
14181304,45524493373099344677188,1644535968,2022-02-10 23:32:48
14187304,45759659458391916252954,1644616098,2022-02-11 21:48:18
14194304,46231039498814827908600,1644708942,2022-02-12 23:35:42
14200304,46457318399269958117052,1644788681,2022-02-13 21:44:41
14207304,46542252146287442535952,1644882671,2022-02-14 23:51:11
14213304,46936602068393782566737,1644962555,2022-02-15 22:02:35
14219304,47143251584807003228979,1645042880,2022-02-16 20:21:20
14226304,47290487577961926508923,1645136268,2022-02-17 22:17:48
14232304,47245524176649264667587,1645217187,2022-02-18 20:46:27
14239304,47699842867925676501319,1645311659,2022-02-19 23:00:59
14245304,48169179863811107896198,1645391440,2022-02-20 21:10:40
14252304,48837306995922116206498,1645485181,2022-02-21 23:13:01
14258304,48927097907825947943441,1645565715,2022-02-22 21:35:15
14265304,49060861660900095306756,1645658572,2022-02-23 23:22:52
14271304,49768078737017915883513,1645738817,2022-02-24 21:40:17
14278304,51264766763155554025752,1645832540,2022-02-25 23:42:20
14284304,51384852378748272644029,1645912707,2022-02-26 21:58:27
14291304,51476631506619988449909,1646005745,2022-02-27 23:49:05
14297304,52283617593152644968251,1646086648,2022-02-28 22:17:28
14303304,53279317826959632292579,1646166731,2022-03-01 20:32:11
14310304,53576471602789690120884,1646260544,2022-03-02 22:35:44
