Date,Open,High,Low,Close,Adj Close,Volume
2022-12-18,1169.130249,1175.115356,1157.267212,1165.218872,1165.218872,19395
2022-12-19,1165.218872,1174.015991,1140.283569,1147.387207,1147.387207,22255
2022-12-20,1147.387207,1222.289063,1145.545410,1220.924683,1220.924683,139990
2022-12-21,1220.789063,1234.141479,1209.463867,1223.109741,1223.109741,159063
2022-12-22,1223.176270,1230.681152,1191.479980,1221.499268,1221.499268,140287
2022-12-23,1221.555420,1236.544434,1219.351563,1224.745483,1224.745483,84731
2022-12-24,1224.808838,1225.792480,1217.154419,1221.631592,1221.631592,6026
2022-12-25,1221.631592,1224.006592,1204.168823,1219.478516,1219.478516,75
2022-12-26,1219.466797,1226.085815,1213.233276,1226.085815,1226.085815,16737
2022-12-27,1226.150269,1229.518188,1202.923096,1206.242310,1206.242310,36688
2022-12-28,1206.241455,1206.491943,1142.134766,1153.146729,1153.146729,227945
2022-12-29,1153.146729,1202.988159,1151.484375,1189.074463,1189.074463,110033
2022-12-30,1189.074463,1189.244385,1154.433228,1158.947754,1158.947754,288
2022-12-31,1159.249023,1165.277832,1154.666382,1156.388184,1156.388184,5312
2023-01-01,1156.355225,1165.795654,1152.673828,1163.359741,1163.359741,22500
2023-01-02,1163.359741,1189.308350,1157.831299,1187.195190,1187.195190,67676
2023-01-03,1186.913452,1221.007324,1186.672729,1218.750000,1218.750000,223379
2023-01-04,1218.750000,1267.166748,1217.142090,1254.919067,1254.919067,1850
2023-01-05,1254.551514,1301.648804,1251.198486,1292.521484,1292.521484,437100
2023-01-06,1292.535889,1313.373535,1278.851685,1309.414307,1309.414307,0
2023-01-07,1309.412231,1310.565796,1263.072998,1264.390503,1264.390503,64262
2023-01-08,1264.961304,1305.092407,1260.571899,1298.146118,1298.146118,282222
2023-01-09,1295.362915,1379.696899,1294.479492,1360.746582,1360.746582,136251
2023-01-10,1360.737915,1389.495361,1357.602539,1383.318970,1383.318970,65506
2023-01-11,1383.318970,1436.887573,1375.088501,1436.887573,1436.887573,218689
2023-01-12,1454.649902,1479.569824,1421.277222,1464.131348,1464.131348,66647
2023-01-13,1463.994995,1510.836182,1449.537476,1498.366577,1498.366577,28424
2023-01-14,1498.448364,1614.831665,1497.788574,1600.195679,1600.195679,19211
2023-01-15,1599.864868,1607.957764,1568.715088,1586.309204,1586.309204,86798
2023-01-16,1586.751587,1649.421143,1561.207153,1630.147339,1630.147339,26529
2023-01-17,1630.147339,1651.855957,1608.015381,1625.103760,1625.103760,86692
2023-01-18,1624.882935,1659.345581,1562.785767,1566.337524,1566.337524,68253
2023-01-19,1566.743164,1609.143188,1566.091064,1608.973877,1608.973877,458
2023-01-20,1608.698242,1719.113892,1602.507080,1719.113892,1719.113892,118588
2023-01-21,1719.352051,1733.982788,1668.251587,1668.672729,1668.672729,86012
2023-01-22,1669.367554,1707.039063,1657.073730,1673.808960,1673.808960,50690
2023-01-23,1673.896484,1710.940186,1671.859009,1687.762573,1687.762573,277857
2023-01-24,1687.414185,1709.979248,1627.010498,1632.432129,1632.432129,149495
2023-01-25,1632.492432,1701.292603,1592.098633,1677.407959,1677.407959,187601
2023-01-26,1677.849976,1692.590332,1635.469849,1657.071289,1657.071289,187302
2023-01-27,1656.835205,1666.094482,1616.858032,1646.553955,1646.553955,51374
2023-01-28,1646.564087,1653.327515,1618.830078,1626.185791,1626.185791,61705
2023-01-29,1626.185791,1708.945801,1626.185791,1703.256226,1703.256226,218169
2023-01-30,1703.280762,1703.280762,1597.451660,1620.175171,1620.175171,136506
2023-01-31,1619.887085,1690.960449,1615.688354,1672.102295,1672.102295,499456
2023-02-01,1671.797363,1719.734375,1619.015869,1716.536743,1716.536743,447157
2023-02-02,1716.617798,1787.922119,1716.212769,1722.408447,1722.408447,382683
2023-02-03,1722.722290,1762.562378,1713.113037,1755.976563,1755.976563,198782
2023-02-04,1755.883179,1783.190186,1735.497803,1758.504272,1758.504272,5392
2023-02-05,1758.720459,1765.067017,1696.159302,1712.137695,1712.137695,65518
2023-02-06,1712.156128,1732.991699,1681.810913,1690.718018,1690.718018,6511
2023-02-07,1689.650024,1770.035278,1668.648682,1758.158325,1758.158325,852032
2023-02-08,1758.281616,1776.516235,1698.937622,1713.575317,1713.575317,454727
2023-02-09,1713.797852,1720.975708,1610.372925,1622.090942,1622.090942,275642
2023-02-10,1621.971069,1630.827026,1574.119019,1589.195923,1589.195923,77404
2023-02-11,1589.106079,1623.345337,1583.480713,1621.495850,1621.495850,66774
2023-02-12,1621.243408,1622.880249,1577.659546,1591.283569,1591.283569,15862
2023-02-13,1591.849365,1602.797485,1538.191040,1583.846924,1583.846924,15990
2023-02-14,1583.972778,1656.910156,1571.023193,1647.325562,1647.325562,318128
2023-02-15,1646.939941,1717.436035,1535.581787,1716.122925,1716.122925,1917479
2023-02-16,1716.672852,1777.589722,1680.497559,1681.941772,1681.941772,99447
2023-02-17,1683.003784,1769.841919,1678.948730,1745.394775,1745.394775,51854
2023-02-18,1745.394775,1767.497925,1732.712891,1747.017578,1747.017578,6099
2023-02-19,1747.207642,1768.532837,1716.308105,1724.639038,1724.639038,1308
2023-02-20,1725.468994,1783.239502,1707.318604,1757.749512,1757.749512,166528
2023-02-21,1758.401855,1784.101929,1715.846802,1759.652100,1759.652100,1222783
2023-02-22,1758.955078,1771.374023,1695.975586,1734.601685,1734.601685,286951
2023-02-23,1735.159058,1792.526245,1727.089966,1756.200195,1756.200195,140777
2023-02-24,1756.200195,1777.590820,1681.744507,1700.842773,1700.842773,51936
2023-02-25,1700.739380,1710.952515,1659.560913,1701.958740,1701.958740,25510
2023-02-26,1701.929810,1749.082520,1689.822144,1738.304321,1738.304321,106565
2023-02-27,1738.216675,1756.013794,1704.752075,1731.161865,1731.161865,221223
2023-02-28,1732.255859,1739.036865,1688.817383,1692.596191,1692.596191,95866
2023-03-01,1692.618286,1800.677612,1683.974121,1785.578857,1785.578857,827339
2023-03-02,1785.555176,1797.457153,1747.843262,1781.070313,1781.070313,441558
2023-03-03,1780.689697,1781.935547,1665.437012,1683.936157,1683.936157,108929
2023-03-04,1684.087036,1694.559937,1660.117065,1675.732422,1675.732422,18720
2023-03-05,1675.268188,1704.883423,1667.936401,1696.010254,1696.010254,1016115
2023-03-06,1695.902100,1713.954956,1685.959473,1700.423096,1700.423096,54921
2023-03-07,1700.586060,1723.040039,1684.654663,1707.599487,1707.599487,1332502
2023-03-08,1706.710449,1715.080200,1666.556274,1674.834961,1674.834961,392275
2023-03-09,1675.487671,1687.452759,1542.912476,1562.310913,1562.310913,488147
2023-03-10,1563.000488,1563.000488,1496.093628,1553.392700,1553.392700,74976
2023-03-11,1554.160522,1683.070435,1530.270752,1607.637939,1607.637939,207943
2023-03-12,1606.887207,1717.994385,1574.160400,1704.602783,1704.602783,204722
2023-03-13,1705.707397,1813.500244,1684.056763,1787.318115,1787.318115,442100
2023-03-14,1788.354492,1900.033447,1774.518311,1830.959351,1830.959351,148934
2023-03-15,1830.010254,1848.564697,1739.686157,1778.721802,1778.721802,356290
2023-03-16,1777.944580,1830.632446,1761.219116,1821.345093,1821.345093,1021890
2023-03-17,1823.083984,1949.655029,1811.743286,1941.651978,1941.651978,283291
2023-03-18,1942.615967,1988.750488,1898.861572,1901.244507,1901.244507,520503
2023-03-19,1901.244507,1999.053955,1901.244507,1931.657715,1931.657715,273494
2023-03-20,1932.619507,1955.498535,1864.804932,1870.479858,1870.479858,20905
2023-03-21,1871.039551,1972.261230,1850.787842,1952.962036,1952.962036,35897
2023-03-22,1953.513550,1974.226563,1862.961426,1877.699707,1877.699707,309906
